price,postcode,size,kamers,year
10500,2585EW,133,4,1900
350000,2512ES,80,3,1906
250000,2547CL,95,4,1969
700000,2586GL,158,7,1915
575000,2496LJ,144,6,1999
825000,2565JK,192,5,1921
275000,2547SN,75,4,1939
889000,2582EA,210,8,1909
250000,2573EH,75,4,1936
795000,2595CA,142,5,1955
279000,2522KM,106,7,1944
339000,2585JH,66,3,1985
249500,2573ES,85,4,1934
295000,2551ZV,72,4,1981
350000,2546XW,93,4,1940
725000,2517CP,137,4,1919
335000,2573XJ,97,5,1933
295000,2561SN,59,2,1911
859000,2563AJ,197,7,1898
375000,2546SL,100,5,1949
475000,2593HD,100,4,1931
11305,2511GS,119,3,2011
235000,2592RH,77,4,1963
225000,2591EL,65,2,1962
260000,2592RL,68,3,1970
255000,2547XX,70,4,1954
265000,2583NS,67,4,1929
300000,2593XD,79,4,1932
400000,2593VW,98,4,1922
595000,2497DA,152,5,1998
10500,2585EW,133,4,1900
350000,2512ES,80,3,1906
250000,2547CL,95,4,1969
700000,2586GL,158,7,1915
575000,2496LJ,144,6,1999
825000,2565JK,192,5,1921
275000,2547SN,75,4,1939
889000,2582EA,210,8,1909
250000,2573EH,75,4,1936
795000,2595CA,142,5,1955
279000,2522KM,106,7,1944
339000,2585JH,66,3,1985
249500,2573ES,85,4,1934
295000,2551ZV,72,4,1981
350000,2546XW,93,4,1940
725000,2517CP,137,4,1919
335000,2573XJ,97,5,1933
295000,2561SN,59,2,1911
859000,2563AJ,197,7,1898
375000,2546SL,100,5,1949
475000,2593HD,100,4,1931
11305,2511GS,119,3,2011
235000,2592RH,77,4,1963
225000,2591EL,65,2,1962
260000,2592RL,68,3,1970
255000,2547XX,70,4,1954
265000,2583NS,67,4,1929
300000,2593XD,79,4,1932
400000,2593VW,98,4,1922
595000,2497DA,152,5,1998
10500,2585EW,133,4,1900
350000,2512ES,80,3,1906
250000,2547CL,95,4,1969
700000,2586GL,158,7,1915
575000,2496LJ,144,6,1999
825000,2565JK,192,5,1921
275000,2547SN,75,4,1939
889000,2582EA,210,8,1909
250000,2573EH,75,4,1936
795000,2595CA,142,5,1955
279000,2522KM,106,7,1944
339000,2585JH,66,3,1985
249500,2573ES,85,4,1934
295000,2551ZV,72,4,1981
350000,2546XW,93,4,1940
725000,2517CP,137,4,1919
335000,2573XJ,97,5,1933
295000,2561SN,59,2,1911
859000,2563AJ,197,7,1898
375000,2546SL,100,5,1949
475000,2593HD,100,4,1931
11305,2511GS,119,3,2011
235000,2592RH,77,4,1963
225000,2591EL,65,2,1962
260000,2592RL,68,3,1970
255000,2547XX,70,4,1954
265000,2583NS,67,4,1929
300000,2593XD,79,4,1932
400000,2593VW,98,4,1922
595000,2497DA,152,5,1998
10500,2585EW,133,4,1900
350000,2512ES,80,3,1906
250000,2547CL,95,4,1969
700000,2586GL,158,7,1915
575000,2496LJ,144,6,1999
825000,2565JK,192,5,1921
275000,2547SN,75,4,1939
889000,2582EA,210,8,1909
250000,2573EH,75,4,1936
795000,2595CA,142,5,1955
279000,2522KM,106,7,1944
339000,2585JH,66,3,1985
249500,2573ES,85,4,1934
295000,2551ZV,72,4,1981
350000,2546XW,93,4,1940
725000,2517CP,137,4,1919
335000,2573XJ,97,5,1933
295000,2561SN,59,2,1911
859000,2563AJ,197,7,1898
375000,2546SL,100,5,1949
475000,2593HD,100,4,1931
11305,2511GS,119,3,2011
235000,2592RH,77,4,1963
225000,2591EL,65,2,1962
260000,2592RL,68,3,1970
255000,2547XX,70,4,1954
265000,2583NS,67,4,1929
300000,2593XD,79,4,1932
400000,2593VW,98,4,1922
595000,2497DA,152,5,1998
10500,2585EW,133,4,1900
350000,2512ES,80,3,1906
250000,2547CL,95,4,1969
700000,2586GL,158,7,1915
575000,2496LJ,144,6,1999
825000,2565JK,192,5,1921
275000,2547SN,75,4,1939
889000,2582EA,210,8,1909
250000,2573EH,75,4,1936
795000,2595CA,142,5,1955
279000,2522KM,106,7,1944
339000,2585JH,66,3,1985
249500,2573ES,85,4,1934
295000,2551ZV,72,4,1981
350000,2546XW,93,4,1940
725000,2517CP,137,4,1919
335000,2573XJ,97,5,1933
295000,2561SN,59,2,1911
859000,2563AJ,197,7,1898
375000,2546SL,100,5,1949
475000,2593HD,100,4,1931
11305,2511GS,119,3,2011
235000,2592RH,77,4,1963
225000,2591EL,65,2,1962
260000,2592RL,68,3,1970
255000,2547XX,70,4,1954
265000,2583NS,67,4,1929
300000,2593XD,79,4,1932
400000,2593VW,98,4,1922
595000,2497DA,152,5,1998
10500,2585EW,133,4,1900
350000,2512ES,80,3,1906
250000,2547CL,95,4,1969
700000,2586GL,158,7,1915
575000,2496LJ,144,6,1999
825000,2565JK,192,5,1921
275000,2547SN,75,4,1939
889000,2582EA,210,8,1909
250000,2573EH,75,4,1936
795000,2595CA,142,5,1955
279000,2522KM,106,7,1944
339000,2585JH,66,3,1985
249500,2573ES,85,4,1934
295000,2551ZV,72,4,1981
350000,2546XW,93,4,1940
725000,2517CP,137,4,1919
335000,2573XJ,97,5,1933
295000,2561SN,59,2,1911
859000,2563AJ,197,7,1898
375000,2546SL,100,5,1949
475000,2593HD,100,4,1931
11305,2511GS,119,3,2011
235000,2592RH,77,4,1963
225000,2591EL,65,2,1962
260000,2592RL,68,3,1970
255000,2547XX,70,4,1954
265000,2583NS,67,4,1929
300000,2593XD,79,4,1932
400000,2593VW,98,4,1922
595000,2497DA,152,5,1998
10500,2585EW,133,4,1900
350000,2512ES,80,3,1906
250000,2547CL,95,4,1969
700000,2586GL,158,7,1915
575000,2496LJ,144,6,1999
825000,2565JK,192,5,1921
275000,2547SN,75,4,1939
889000,2582EA,210,8,1909
250000,2573EH,75,4,1936
795000,2595CA,142,5,1955
279000,2522KM,106,7,1944
339000,2585JH,66,3,1985
249500,2573ES,85,4,1934
295000,2551ZV,72,4,1981
350000,2546XW,93,4,1940
725000,2517CP,137,4,1919
335000,2573XJ,97,5,1933
295000,2561SN,59,2,1911
859000,2563AJ,197,7,1898
375000,2546SL,100,5,1949
475000,2593HD,100,4,1931
11305,2511GS,119,3,2011
235000,2592RH,77,4,1963
225000,2591EL,65,2,1962
260000,2592RL,68,3,1970
255000,2547XX,70,4,1954
265000,2583NS,67,4,1929
300000,2593XD,79,4,1932
400000,2593VW,98,4,1922
595000,2497DA,152,5,1998
10500,2585EW,133,4,1900
350000,2512ES,80,3,1906
250000,2547CL,95,4,1969
700000,2586GL,158,7,1915
575000,2496LJ,144,6,1999
825000,2565JK,192,5,1921
275000,2547SN,75,4,1939
889000,2582EA,210,8,1909
250000,2573EH,75,4,1936
795000,2595CA,142,5,1955
279000,2522KM,106,7,1944
339000,2585JH,66,3,1985
249500,2573ES,85,4,1934
295000,2551ZV,72,4,1981
350000,2546XW,93,4,1940
725000,2517CP,137,4,1919
335000,2573XJ,97,5,1933
295000,2561SN,59,2,1911
859000,2563AJ,197,7,1898
375000,2546SL,100,5,1949
475000,2593HD,100,4,1931
11305,2511GS,119,3,2011
235000,2592RH,77,4,1963
225000,2591EL,65,2,1962
260000,2592RL,68,3,1970
255000,2547XX,70,4,1954
265000,2583NS,67,4,1929
300000,2593XD,79,4,1932
400000,2593VW,98,4,1922
595000,2497DA,152,5,1998
10500,2585EW,133,4,1900
350000,2512ES,80,3,1906
250000,2547CL,95,4,1969
700000,2586GL,158,7,1915
575000,2496LJ,144,6,1999
825000,2565JK,192,5,1921
275000,2547SN,75,4,1939
889000,2582EA,210,8,1909
250000,2573EH,75,4,1936
795000,2595CA,142,5,1955
279000,2522KM,106,7,1944
339000,2585JH,66,3,1985
249500,2573ES,85,4,1934
295000,2551ZV,72,4,1981
350000,2546XW,93,4,1940
725000,2517CP,137,4,1919
335000,2573XJ,97,5,1933
295000,2561SN,59,2,1911
859000,2563AJ,197,7,1898
375000,2546SL,100,5,1949
475000,2593HD,100,4,1931
11305,2511GS,119,3,2011
235000,2592RH,77,4,1963
225000,2591EL,65,2,1962
260000,2592RL,68,3,1970
255000,2547XX,70,4,1954
265000,2583NS,67,4,1929
300000,2593XD,79,4,1932
400000,2593VW,98,4,1922
595000,2497DA,152,5,1998
10500,2585EW,133,4,1900
350000,2512ES,80,3,1906
250000,2547CL,95,4,1969
700000,2586GL,158,7,1915
575000,2496LJ,144,6,1999
825000,2565JK,192,5,1921
275000,2547SN,75,4,1939
889000,2582EA,210,8,1909
250000,2573EH,75,4,1936
795000,2595CA,142,5,1955
279000,2522KM,106,7,1944
339000,2585JH,66,3,1985
249500,2573ES,85,4,1934
295000,2551ZV,72,4,1981
350000,2546XW,93,4,1940
725000,2517CP,137,4,1919
335000,2573XJ,97,5,1933
295000,2561SN,59,2,1911
859000,2563AJ,197,7,1898
375000,2546SL,100,5,1949
475000,2593HD,100,4,1931
11305,2511GS,119,3,2011
235000,2592RH,77,4,1963
225000,2591EL,65,2,1962
260000,2592RL,68,3,1970
255000,2547XX,70,4,1954
265000,2583NS,67,4,1929
300000,2593XD,79,4,1932
400000,2593VW,98,4,1922
595000,2497DA,152,5,1998
10500,2585EW,133,4,1900
350000,2512ES,80,3,1906
250000,2547CL,95,4,1969
700000,2586GL,158,7,1915
575000,2496LJ,144,6,1999
825000,2565JK,192,5,1921
275000,2547SN,75,4,1939
889000,2582EA,210,8,1909
250000,2573EH,75,4,1936
795000,2595CA,142,5,1955
279000,2522KM,106,7,1944
339000,2585JH,66,3,1985
249500,2573ES,85,4,1934
295000,2551ZV,72,4,1981
350000,2546XW,93,4,1940
725000,2517CP,137,4,1919
335000,2573XJ,97,5,1933
295000,2561SN,59,2,1911
859000,2563AJ,197,7,1898
375000,2546SL,100,5,1949
475000,2593HD,100,4,1931
11305,2511GS,119,3,2011
235000,2592RH,77,4,1963
225000,2591EL,65,2,1962
260000,2592RL,68,3,1970
255000,2547XX,70,4,1954
265000,2583NS,67,4,1929
300000,2593XD,79,4,1932
400000,2593VW,98,4,1922
595000,2497DA,152,5,1998
10500,2585EW,133,4,1900
350000,2512ES,80,3,1906
250000,2547CL,95,4,1969
700000,2586GL,158,7,1915
575000,2496LJ,144,6,1999
825000,2565JK,192,5,1921
275000,2547SN,75,4,1939
889000,2582EA,210,8,1909
250000,2573EH,75,4,1936
795000,2595CA,142,5,1955
279000,2522KM,106,7,1944
339000,2585JH,66,3,1985
249500,2573ES,85,4,1934
295000,2551ZV,72,4,1981
350000,2546XW,93,4,1940
725000,2517CP,137,4,1919
335000,2573XJ,97,5,1933
295000,2561SN,59,2,1911
859000,2563AJ,197,7,1898
375000,2546SL,100,5,1949
475000,2593HD,100,4,1931
11305,2511GS,119,3,2011
235000,2592RH,77,4,1963
225000,2591EL,65,2,1962
260000,2592RL,68,3,1970
255000,2547XX,70,4,1954
265000,2583NS,67,4,1929
300000,2593XD,79,4,1932
400000,2593VW,98,4,1922
595000,2497DA,152,5,1998
