price,postcode,size,kamers,year,latitude,longitude,distance1,distance2,age
249500,2573ES,85,4,1934,52.06275823333334,4.289283388888888,3.1459693255376266,2.3722166409573213,88
295000,2551ZV,72,4,1981,52.05962606999999,4.244650486666666,5.955100723343574,5.413352968224521,41
350000,2546XW,93,4,1940,52.06097374782609,4.278375569565218,3.8585098040197514,3.1434440727290633,82
725000,2517CP,137,4,1919,52.08140785882354,4.283786494117647,2.770703175616543,2.88309306109911,103
335000,2573XJ,97,5,1933,52.06620069333333,4.2839209,3.2211232795071294,2.628589774955506,89
295000,2561SN,59,2,1911,52.070046716666674,4.276269033333333,3.5088611486804875,3.1152777438036585,111
859000,2563AJ,197,7,1898,52.07965277999999,4.28034164,3.01101660632918,3.0244470990478916,124
375000,2546SL,100,5,1949,52.06053657333334,4.272970766666666,4.19222840926784,3.5104738907290747,73
475000,2593HD,100,4,1931,52.08545036111112,4.348298105555557,1.7213980043176058,2.490927028277183,91
11305,2511GS,119,3,2011,52.07860301463412,4.321156562195122,0.3474565579728864,0.9357352075723491,11
235000,2592RH,77,4,1963,52.096908508571424,4.357850102857142,2.900641388246877,3.86945727050312,59
225000,2591EL,65,2,1962,52.09641702777777,4.368127577777778,3.459786966665033,4.317273776682547,60
260000,2592RL,68,3,1970,52.09754114137931,4.358934210344828,3.002419752027823,3.9711202967119035,52
255000,2547XX,70,4,1954,52.0590986117647,4.266936747058823,4.627208652325846,3.9535328839854835,68
265000,2583NS,67,4,1929,52.08798993529411,4.257518017647059,4.63479762804998,4.824865253880103,93
300000,2593XD,79,4,1932,52.08368973043477,4.345046969565217,1.457860250986973,2.1943367840454897,90
400000,2593VW,98,4,1922,52.08282865,4.344035445833334,1.373306308091011,2.078343241176899,100
595000,2497DA,152,5,1998,52.04019010000001,4.364089118867924,5.310853416784077,4.427662210952381,24
10500,2585EW,133,4,1900,52.090968939999996,4.305611659999999,1.6820601954558025,2.5606412605651014,122
350000,2512ES,80,3,1906,52.07308677714286,4.304517040000001,1.6174178889525106,1.2212067074221657,116
250000,2547CL,95,4,1969,52.06200181111111,4.268852722222223,4.349525483935999,3.737137481179264,53
700000,2586GL,158,7,1915,52.11062548888889,4.280946066666667,4.424905574989874,5.294831995503798,107
575000,2496LJ,144,6,1999,52.048411761111105,4.379843730555555,5.271695121327231,4.6670038586329605,23
825000,2565JK,192,5,1921,52.07702899999999,4.264899316666666,4.0906317555614535,3.967990187051992,101
275000,2547SN,75,4,1939,52.065307125000004,4.269152445833333,4.16340436645688,3.644306049833008,83
889000,2582EA,210,8,1909,52.09008537777779,4.275500122222223,3.484731816613276,3.8635675624086248,113
250000,2573EH,75,4,1936,52.06259920526317,4.2891036263157885,3.166836683609992,2.389980439778698,86
795000,2595CA,142,5,1955,52.08254868478263,4.3350601065217385,0.7617405351954308,1.6513526805896555,67
279000,2522KM,106,7,1944,52.06151161666667,4.327178954166667,2.1891246667632496,1.0371926114249725,78
339000,2585JH,66,3,1985,52.10122968307693,4.2864379523076925,3.4227591735135046,4.214629300678446,37
249500,2573ES,85,4,1934,52.06275823333334,4.289283388888888,3.1459693255376266,2.3722166409573213,88
295000,2551ZV,72,4,1981,52.05962606999999,4.244650486666666,5.955100723343574,5.413352968224521,41
350000,2546XW,93,4,1940,52.06097374782609,4.278375569565218,3.8585098040197514,3.1434440727290633,82
725000,2517CP,137,4,1919,52.08140785882354,4.283786494117647,2.770703175616543,2.88309306109911,103
335000,2573XJ,97,5,1933,52.06620069333333,4.2839209,3.2211232795071294,2.628589774955506,89
295000,2561SN,59,2,1911,52.070046716666674,4.276269033333333,3.5088611486804875,3.1152777438036585,111
859000,2563AJ,197,7,1898,52.07965277999999,4.28034164,3.01101660632918,3.0244470990478916,124
375000,2546SL,100,5,1949,52.06053657333334,4.272970766666666,4.19222840926784,3.5104738907290747,73
475000,2593HD,100,4,1931,52.08545036111112,4.348298105555557,1.7213980043176058,2.490927028277183,91
11305,2511GS,119,3,2011,52.07860301463412,4.321156562195122,0.3474565579728864,0.9357352075723491,11
235000,2592RH,77,4,1963,52.096908508571424,4.357850102857142,2.900641388246877,3.86945727050312,59
225000,2591EL,65,2,1962,52.09641702777777,4.368127577777778,3.459786966665033,4.317273776682547,60
260000,2592RL,68,3,1970,52.09754114137931,4.358934210344828,3.002419752027823,3.9711202967119035,52
255000,2547XX,70,4,1954,52.0590986117647,4.266936747058823,4.627208652325846,3.9535328839854835,68
265000,2583NS,67,4,1929,52.08798993529411,4.257518017647059,4.63479762804998,4.824865253880103,93
300000,2593XD,79,4,1932,52.08368973043477,4.345046969565217,1.457860250986973,2.1943367840454897,90
400000,2593VW,98,4,1922,52.08282865,4.344035445833334,1.373306308091011,2.078343241176899,100
595000,2497DA,152,5,1998,52.04019010000001,4.364089118867924,5.310853416784077,4.427662210952381,24
10500,2585EW,133,4,1900,52.090968939999996,4.305611659999999,1.6820601954558025,2.5606412605651014,122
350000,2512ES,80,3,1906,52.07308677714286,4.304517040000001,1.6174178889525106,1.2212067074221657,116
250000,2547CL,95,4,1969,52.06200181111111,4.268852722222223,4.349525483935999,3.737137481179264,53
700000,2586GL,158,7,1915,52.11062548888889,4.280946066666667,4.424905574989874,5.294831995503798,107
575000,2496LJ,144,6,1999,52.048411761111105,4.379843730555555,5.271695121327231,4.6670038586329605,23
825000,2565JK,192,5,1921,52.07702899999999,4.264899316666666,4.0906317555614535,3.967990187051992,101
275000,2547SN,75,4,1939,52.065307125000004,4.269152445833333,4.16340436645688,3.644306049833008,83
889000,2582EA,210,8,1909,52.09008537777779,4.275500122222223,3.484731816613276,3.8635675624086248,113
250000,2573EH,75,4,1936,52.06259920526317,4.2891036263157885,3.166836683609992,2.389980439778698,86
795000,2595CA,142,5,1955,52.08254868478263,4.3350601065217385,0.7617405351954308,1.6513526805896555,67
279000,2522KM,106,7,1944,52.06151161666667,4.327178954166667,2.1891246667632496,1.0371926114249725,78
339000,2585JH,66,3,1985,52.10122968307693,4.2864379523076925,3.4227591735135046,4.214629300678446,37
249500,2573ES,85,4,1934,52.06275823333334,4.289283388888888,3.1459693255376266,2.3722166409573213,88
295000,2551ZV,72,4,1981,52.05962606999999,4.244650486666666,5.955100723343574,5.413352968224521,41
350000,2546XW,93,4,1940,52.06097374782609,4.278375569565218,3.8585098040197514,3.1434440727290633,82
725000,2517CP,137,4,1919,52.08140785882354,4.283786494117647,2.770703175616543,2.88309306109911,103
335000,2573XJ,97,5,1933,52.06620069333333,4.2839209,3.2211232795071294,2.628589774955506,89
295000,2561SN,59,2,1911,52.070046716666674,4.276269033333333,3.5088611486804875,3.1152777438036585,111
859000,2563AJ,197,7,1898,52.07965277999999,4.28034164,3.01101660632918,3.0244470990478916,124
375000,2546SL,100,5,1949,52.06053657333334,4.272970766666666,4.19222840926784,3.5104738907290747,73
475000,2593HD,100,4,1931,52.08545036111112,4.348298105555557,1.7213980043176058,2.490927028277183,91
11305,2511GS,119,3,2011,52.07860301463412,4.321156562195122,0.3474565579728864,0.9357352075723491,11
235000,2592RH,77,4,1963,52.096908508571424,4.357850102857142,2.900641388246877,3.86945727050312,59
225000,2591EL,65,2,1962,52.09641702777777,4.368127577777778,3.459786966665033,4.317273776682547,60
260000,2592RL,68,3,1970,52.09754114137931,4.358934210344828,3.002419752027823,3.9711202967119035,52
255000,2547XX,70,4,1954,52.0590986117647,4.266936747058823,4.627208652325846,3.9535328839854835,68
265000,2583NS,67,4,1929,52.08798993529411,4.257518017647059,4.63479762804998,4.824865253880103,93
300000,2593XD,79,4,1932,52.08368973043477,4.345046969565217,1.457860250986973,2.1943367840454897,90
400000,2593VW,98,4,1922,52.08282865,4.344035445833334,1.373306308091011,2.078343241176899,100
595000,2497DA,152,5,1998,52.04019010000001,4.364089118867924,5.310853416784077,4.427662210952381,24
10500,2585EW,133,4,1900,52.090968939999996,4.305611659999999,1.6820601954558025,2.5606412605651014,122
350000,2512ES,80,3,1906,52.07308677714286,4.304517040000001,1.6174178889525106,1.2212067074221657,116
250000,2547CL,95,4,1969,52.06200181111111,4.268852722222223,4.349525483935999,3.737137481179264,53
700000,2586GL,158,7,1915,52.11062548888889,4.280946066666667,4.424905574989874,5.294831995503798,107
575000,2496LJ,144,6,1999,52.048411761111105,4.379843730555555,5.271695121327231,4.6670038586329605,23
825000,2565JK,192,5,1921,52.07702899999999,4.264899316666666,4.0906317555614535,3.967990187051992,101
275000,2547SN,75,4,1939,52.065307125000004,4.269152445833333,4.16340436645688,3.644306049833008,83
889000,2582EA,210,8,1909,52.09008537777779,4.275500122222223,3.484731816613276,3.8635675624086248,113
250000,2573EH,75,4,1936,52.06259920526317,4.2891036263157885,3.166836683609992,2.389980439778698,86
795000,2595CA,142,5,1955,52.08254868478263,4.3350601065217385,0.7617405351954308,1.6513526805896555,67
279000,2522KM,106,7,1944,52.06151161666667,4.327178954166667,2.1891246667632496,1.0371926114249725,78
339000,2585JH,66,3,1985,52.10122968307693,4.2864379523076925,3.4227591735135046,4.214629300678446,37
249500,2573ES,85,4,1934,52.06275823333334,4.289283388888888,3.1459693255376266,2.3722166409573213,88
295000,2551ZV,72,4,1981,52.05962606999999,4.244650486666666,5.955100723343574,5.413352968224521,41
350000,2546XW,93,4,1940,52.06097374782609,4.278375569565218,3.8585098040197514,3.1434440727290633,82
725000,2517CP,137,4,1919,52.08140785882354,4.283786494117647,2.770703175616543,2.88309306109911,103
335000,2573XJ,97,5,1933,52.06620069333333,4.2839209,3.2211232795071294,2.628589774955506,89
295000,2561SN,59,2,1911,52.070046716666674,4.276269033333333,3.5088611486804875,3.1152777438036585,111
859000,2563AJ,197,7,1898,52.07965277999999,4.28034164,3.01101660632918,3.0244470990478916,124
375000,2546SL,100,5,1949,52.06053657333334,4.272970766666666,4.19222840926784,3.5104738907290747,73
475000,2593HD,100,4,1931,52.08545036111112,4.348298105555557,1.7213980043176058,2.490927028277183,91
11305,2511GS,119,3,2011,52.07860301463412,4.321156562195122,0.3474565579728864,0.9357352075723491,11
235000,2592RH,77,4,1963,52.096908508571424,4.357850102857142,2.900641388246877,3.86945727050312,59
225000,2591EL,65,2,1962,52.09641702777777,4.368127577777778,3.459786966665033,4.317273776682547,60
260000,2592RL,68,3,1970,52.09754114137931,4.358934210344828,3.002419752027823,3.9711202967119035,52
255000,2547XX,70,4,1954,52.0590986117647,4.266936747058823,4.627208652325846,3.9535328839854835,68
265000,2583NS,67,4,1929,52.08798993529411,4.257518017647059,4.63479762804998,4.824865253880103,93
300000,2593XD,79,4,1932,52.08368973043477,4.345046969565217,1.457860250986973,2.1943367840454897,90
400000,2593VW,98,4,1922,52.08282865,4.344035445833334,1.373306308091011,2.078343241176899,100
595000,2497DA,152,5,1998,52.04019010000001,4.364089118867924,5.310853416784077,4.427662210952381,24
10500,2585EW,133,4,1900,52.090968939999996,4.305611659999999,1.6820601954558025,2.5606412605651014,122
350000,2512ES,80,3,1906,52.07308677714286,4.304517040000001,1.6174178889525106,1.2212067074221657,116
250000,2547CL,95,4,1969,52.06200181111111,4.268852722222223,4.349525483935999,3.737137481179264,53
700000,2586GL,158,7,1915,52.11062548888889,4.280946066666667,4.424905574989874,5.294831995503798,107
575000,2496LJ,144,6,1999,52.048411761111105,4.379843730555555,5.271695121327231,4.6670038586329605,23
825000,2565JK,192,5,1921,52.07702899999999,4.264899316666666,4.0906317555614535,3.967990187051992,101
275000,2547SN,75,4,1939,52.065307125000004,4.269152445833333,4.16340436645688,3.644306049833008,83
889000,2582EA,210,8,1909,52.09008537777779,4.275500122222223,3.484731816613276,3.8635675624086248,113
250000,2573EH,75,4,1936,52.06259920526317,4.2891036263157885,3.166836683609992,2.389980439778698,86
795000,2595CA,142,5,1955,52.08254868478263,4.3350601065217385,0.7617405351954308,1.6513526805896555,67
279000,2522KM,106,7,1944,52.06151161666667,4.327178954166667,2.1891246667632496,1.0371926114249725,78
339000,2585JH,66,3,1985,52.10122968307693,4.2864379523076925,3.4227591735135046,4.214629300678446,37
249500,2573ES,85,4,1934,52.06275823333334,4.289283388888888,3.1459693255376266,2.3722166409573213,88
295000,2551ZV,72,4,1981,52.05962606999999,4.244650486666666,5.955100723343574,5.413352968224521,41
350000,2546XW,93,4,1940,52.06097374782609,4.278375569565218,3.8585098040197514,3.1434440727290633,82
725000,2517CP,137,4,1919,52.08140785882354,4.283786494117647,2.770703175616543,2.88309306109911,103
335000,2573XJ,97,5,1933,52.06620069333333,4.2839209,3.2211232795071294,2.628589774955506,89
295000,2561SN,59,2,1911,52.070046716666674,4.276269033333333,3.5088611486804875,3.1152777438036585,111
859000,2563AJ,197,7,1898,52.07965277999999,4.28034164,3.01101660632918,3.0244470990478916,124
375000,2546SL,100,5,1949,52.06053657333334,4.272970766666666,4.19222840926784,3.5104738907290747,73
475000,2593HD,100,4,1931,52.08545036111112,4.348298105555557,1.7213980043176058,2.490927028277183,91
11305,2511GS,119,3,2011,52.07860301463412,4.321156562195122,0.3474565579728864,0.9357352075723491,11
235000,2592RH,77,4,1963,52.096908508571424,4.357850102857142,2.900641388246877,3.86945727050312,59
225000,2591EL,65,2,1962,52.09641702777777,4.368127577777778,3.459786966665033,4.317273776682547,60
260000,2592RL,68,3,1970,52.09754114137931,4.358934210344828,3.002419752027823,3.9711202967119035,52
255000,2547XX,70,4,1954,52.0590986117647,4.266936747058823,4.627208652325846,3.9535328839854835,68
265000,2583NS,67,4,1929,52.08798993529411,4.257518017647059,4.63479762804998,4.824865253880103,93
300000,2593XD,79,4,1932,52.08368973043477,4.345046969565217,1.457860250986973,2.1943367840454897,90
400000,2593VW,98,4,1922,52.08282865,4.344035445833334,1.373306308091011,2.078343241176899,100
595000,2497DA,152,5,1998,52.04019010000001,4.364089118867924,5.310853416784077,4.427662210952381,24
10500,2585EW,133,4,1900,52.090968939999996,4.305611659999999,1.6820601954558025,2.5606412605651014,122
350000,2512ES,80,3,1906,52.07308677714286,4.304517040000001,1.6174178889525106,1.2212067074221657,116
250000,2547CL,95,4,1969,52.06200181111111,4.268852722222223,4.349525483935999,3.737137481179264,53
700000,2586GL,158,7,1915,52.11062548888889,4.280946066666667,4.424905574989874,5.294831995503798,107
575000,2496LJ,144,6,1999,52.048411761111105,4.379843730555555,5.271695121327231,4.6670038586329605,23
825000,2565JK,192,5,1921,52.07702899999999,4.264899316666666,4.0906317555614535,3.967990187051992,101
275000,2547SN,75,4,1939,52.065307125000004,4.269152445833333,4.16340436645688,3.644306049833008,83
889000,2582EA,210,8,1909,52.09008537777779,4.275500122222223,3.484731816613276,3.8635675624086248,113
250000,2573EH,75,4,1936,52.06259920526317,4.2891036263157885,3.166836683609992,2.389980439778698,86
795000,2595CA,142,5,1955,52.08254868478263,4.3350601065217385,0.7617405351954308,1.6513526805896555,67
279000,2522KM,106,7,1944,52.06151161666667,4.327178954166667,2.1891246667632496,1.0371926114249725,78
339000,2585JH,66,3,1985,52.10122968307693,4.2864379523076925,3.4227591735135046,4.214629300678446,37
249500,2573ES,85,4,1934,52.06275823333334,4.289283388888888,3.1459693255376266,2.3722166409573213,88
295000,2551ZV,72,4,1981,52.05962606999999,4.244650486666666,5.955100723343574,5.413352968224521,41
350000,2546XW,93,4,1940,52.06097374782609,4.278375569565218,3.8585098040197514,3.1434440727290633,82
725000,2517CP,137,4,1919,52.08140785882354,4.283786494117647,2.770703175616543,2.88309306109911,103
335000,2573XJ,97,5,1933,52.06620069333333,4.2839209,3.2211232795071294,2.628589774955506,89
295000,2561SN,59,2,1911,52.070046716666674,4.276269033333333,3.5088611486804875,3.1152777438036585,111
859000,2563AJ,197,7,1898,52.07965277999999,4.28034164,3.01101660632918,3.0244470990478916,124
375000,2546SL,100,5,1949,52.06053657333334,4.272970766666666,4.19222840926784,3.5104738907290747,73
475000,2593HD,100,4,1931,52.08545036111112,4.348298105555557,1.7213980043176058,2.490927028277183,91
11305,2511GS,119,3,2011,52.07860301463412,4.321156562195122,0.3474565579728864,0.9357352075723491,11
235000,2592RH,77,4,1963,52.096908508571424,4.357850102857142,2.900641388246877,3.86945727050312,59
225000,2591EL,65,2,1962,52.09641702777777,4.368127577777778,3.459786966665033,4.317273776682547,60
260000,2592RL,68,3,1970,52.09754114137931,4.358934210344828,3.002419752027823,3.9711202967119035,52
255000,2547XX,70,4,1954,52.0590986117647,4.266936747058823,4.627208652325846,3.9535328839854835,68
265000,2583NS,67,4,1929,52.08798993529411,4.257518017647059,4.63479762804998,4.824865253880103,93
300000,2593XD,79,4,1932,52.08368973043477,4.345046969565217,1.457860250986973,2.1943367840454897,90
400000,2593VW,98,4,1922,52.08282865,4.344035445833334,1.373306308091011,2.078343241176899,100
595000,2497DA,152,5,1998,52.04019010000001,4.364089118867924,5.310853416784077,4.427662210952381,24
10500,2585EW,133,4,1900,52.090968939999996,4.305611659999999,1.6820601954558025,2.5606412605651014,122
350000,2512ES,80,3,1906,52.07308677714286,4.304517040000001,1.6174178889525106,1.2212067074221657,116
250000,2547CL,95,4,1969,52.06200181111111,4.268852722222223,4.349525483935999,3.737137481179264,53
700000,2586GL,158,7,1915,52.11062548888889,4.280946066666667,4.424905574989874,5.294831995503798,107
575000,2496LJ,144,6,1999,52.048411761111105,4.379843730555555,5.271695121327231,4.6670038586329605,23
825000,2565JK,192,5,1921,52.07702899999999,4.264899316666666,4.0906317555614535,3.967990187051992,101
275000,2547SN,75,4,1939,52.065307125000004,4.269152445833333,4.16340436645688,3.644306049833008,83
889000,2582EA,210,8,1909,52.09008537777779,4.275500122222223,3.484731816613276,3.8635675624086248,113
250000,2573EH,75,4,1936,52.06259920526317,4.2891036263157885,3.166836683609992,2.389980439778698,86
795000,2595CA,142,5,1955,52.08254868478263,4.3350601065217385,0.7617405351954308,1.6513526805896555,67
279000,2522KM,106,7,1944,52.06151161666667,4.327178954166667,2.1891246667632496,1.0371926114249725,78
339000,2585JH,66,3,1985,52.10122968307693,4.2864379523076925,3.4227591735135046,4.214629300678446,37
249500,2573ES,85,4,1934,52.06275823333334,4.289283388888888,3.1459693255376266,2.3722166409573213,88
295000,2551ZV,72,4,1981,52.05962606999999,4.244650486666666,5.955100723343574,5.413352968224521,41
350000,2546XW,93,4,1940,52.06097374782609,4.278375569565218,3.8585098040197514,3.1434440727290633,82
725000,2517CP,137,4,1919,52.08140785882354,4.283786494117647,2.770703175616543,2.88309306109911,103
335000,2573XJ,97,5,1933,52.06620069333333,4.2839209,3.2211232795071294,2.628589774955506,89
295000,2561SN,59,2,1911,52.070046716666674,4.276269033333333,3.5088611486804875,3.1152777438036585,111
859000,2563AJ,197,7,1898,52.07965277999999,4.28034164,3.01101660632918,3.0244470990478916,124
375000,2546SL,100,5,1949,52.06053657333334,4.272970766666666,4.19222840926784,3.5104738907290747,73
475000,2593HD,100,4,1931,52.08545036111112,4.348298105555557,1.7213980043176058,2.490927028277183,91
11305,2511GS,119,3,2011,52.07860301463412,4.321156562195122,0.3474565579728864,0.9357352075723491,11
235000,2592RH,77,4,1963,52.096908508571424,4.357850102857142,2.900641388246877,3.86945727050312,59
225000,2591EL,65,2,1962,52.09641702777777,4.368127577777778,3.459786966665033,4.317273776682547,60
260000,2592RL,68,3,1970,52.09754114137931,4.358934210344828,3.002419752027823,3.9711202967119035,52
255000,2547XX,70,4,1954,52.0590986117647,4.266936747058823,4.627208652325846,3.9535328839854835,68
265000,2583NS,67,4,1929,52.08798993529411,4.257518017647059,4.63479762804998,4.824865253880103,93
300000,2593XD,79,4,1932,52.08368973043477,4.345046969565217,1.457860250986973,2.1943367840454897,90
400000,2593VW,98,4,1922,52.08282865,4.344035445833334,1.373306308091011,2.078343241176899,100
595000,2497DA,152,5,1998,52.04019010000001,4.364089118867924,5.310853416784077,4.427662210952381,24
10500,2585EW,133,4,1900,52.090968939999996,4.305611659999999,1.6820601954558025,2.5606412605651014,122
350000,2512ES,80,3,1906,52.07308677714286,4.304517040000001,1.6174178889525106,1.2212067074221657,116
250000,2547CL,95,4,1969,52.06200181111111,4.268852722222223,4.349525483935999,3.737137481179264,53
700000,2586GL,158,7,1915,52.11062548888889,4.280946066666667,4.424905574989874,5.294831995503798,107
575000,2496LJ,144,6,1999,52.048411761111105,4.379843730555555,5.271695121327231,4.6670038586329605,23
825000,2565JK,192,5,1921,52.07702899999999,4.264899316666666,4.0906317555614535,3.967990187051992,101
275000,2547SN,75,4,1939,52.065307125000004,4.269152445833333,4.16340436645688,3.644306049833008,83
889000,2582EA,210,8,1909,52.09008537777779,4.275500122222223,3.484731816613276,3.8635675624086248,113
250000,2573EH,75,4,1936,52.06259920526317,4.2891036263157885,3.166836683609992,2.389980439778698,86
795000,2595CA,142,5,1955,52.08254868478263,4.3350601065217385,0.7617405351954308,1.6513526805896555,67
279000,2522KM,106,7,1944,52.06151161666667,4.327178954166667,2.1891246667632496,1.0371926114249725,78
339000,2585JH,66,3,1985,52.10122968307693,4.2864379523076925,3.4227591735135046,4.214629300678446,37
249500,2573ES,85,4,1934,52.06275823333334,4.289283388888888,3.1459693255376266,2.3722166409573213,88
295000,2551ZV,72,4,1981,52.05962606999999,4.244650486666666,5.955100723343574,5.413352968224521,41
350000,2546XW,93,4,1940,52.06097374782609,4.278375569565218,3.8585098040197514,3.1434440727290633,82
725000,2517CP,137,4,1919,52.08140785882354,4.283786494117647,2.770703175616543,2.88309306109911,103
335000,2573XJ,97,5,1933,52.06620069333333,4.2839209,3.2211232795071294,2.628589774955506,89
295000,2561SN,59,2,1911,52.070046716666674,4.276269033333333,3.5088611486804875,3.1152777438036585,111
859000,2563AJ,197,7,1898,52.07965277999999,4.28034164,3.01101660632918,3.0244470990478916,124
375000,2546SL,100,5,1949,52.06053657333334,4.272970766666666,4.19222840926784,3.5104738907290747,73
475000,2593HD,100,4,1931,52.08545036111112,4.348298105555557,1.7213980043176058,2.490927028277183,91
11305,2511GS,119,3,2011,52.07860301463412,4.321156562195122,0.3474565579728864,0.9357352075723491,11
235000,2592RH,77,4,1963,52.096908508571424,4.357850102857142,2.900641388246877,3.86945727050312,59
225000,2591EL,65,2,1962,52.09641702777777,4.368127577777778,3.459786966665033,4.317273776682547,60
260000,2592RL,68,3,1970,52.09754114137931,4.358934210344828,3.002419752027823,3.9711202967119035,52
255000,2547XX,70,4,1954,52.0590986117647,4.266936747058823,4.627208652325846,3.9535328839854835,68
265000,2583NS,67,4,1929,52.08798993529411,4.257518017647059,4.63479762804998,4.824865253880103,93
300000,2593XD,79,4,1932,52.08368973043477,4.345046969565217,1.457860250986973,2.1943367840454897,90
400000,2593VW,98,4,1922,52.08282865,4.344035445833334,1.373306308091011,2.078343241176899,100
595000,2497DA,152,5,1998,52.04019010000001,4.364089118867924,5.310853416784077,4.427662210952381,24
10500,2585EW,133,4,1900,52.090968939999996,4.305611659999999,1.6820601954558025,2.5606412605651014,122
350000,2512ES,80,3,1906,52.07308677714286,4.304517040000001,1.6174178889525106,1.2212067074221657,116
250000,2547CL,95,4,1969,52.06200181111111,4.268852722222223,4.349525483935999,3.737137481179264,53
700000,2586GL,158,7,1915,52.11062548888889,4.280946066666667,4.424905574989874,5.294831995503798,107
575000,2496LJ,144,6,1999,52.048411761111105,4.379843730555555,5.271695121327231,4.6670038586329605,23
825000,2565JK,192,5,1921,52.07702899999999,4.264899316666666,4.0906317555614535,3.967990187051992,101
275000,2547SN,75,4,1939,52.065307125000004,4.269152445833333,4.16340436645688,3.644306049833008,83
889000,2582EA,210,8,1909,52.09008537777779,4.275500122222223,3.484731816613276,3.8635675624086248,113
250000,2573EH,75,4,1936,52.06259920526317,4.2891036263157885,3.166836683609992,2.389980439778698,86
